LOCATION,TIME,PC_HEALTHXP,PC_GDP,USD_CAP,FLAG_CODES,TOTAL_SPEND,Log_TOTAL_SPEND,Cluster_GMM,Prob_Cluster_0,Prob_Cluster_1,Prob_Cluster_2,Cluster_Label
BEL,1976,18.88,1.081,75.524,,741.51,6.61003633859963,1,0.2941225102608191,0.6147256587326362,0.09115183100654475,Medium Spend
BEL,1977,18.301,1.133,84.525,,830.91,6.723724261893156,1,0.3624532246085029,0.49468316020307773,0.14286361518841967,Medium Spend
BEL,1978,17.789,1.135,93.107,,916.13,6.821249228838842,0,0.41065894487377624,0.3889869321277992,0.20035412299842476,High Spend
BEL,1979,17.386,1.106,100.444,,989.21,6.897917041846234,0,0.43678626451799235,0.31195309429283913,0.2512606411891687,High Spend
BEL,1980,17.374,1.068,110.325,,1087.72,6.992757973252062,0,0.4743627536516212,0.29418287610753024,0.23145437024084833,High Spend
BEL,1981,16.044,1.053,118.541,,1168.69,7.064494035419467,2,0.4052232435962768,0.13333637845156612,0.46144037795215714,Low Spend
BEL,1982,15.4,1.045,125.806,,1239.98,7.1236566690392875,2,0.3508563466437594,0.08399808250014876,0.5651455708560917,Low Spend
BEL,1983,15.594,1.084,136.098,,1341.32,7.2021547391814424,2,0.407023612581357,0.0923820724835375,0.5005943149351053,Low Spend
BEL,1984,14.967,1.017,135.461,,1335.02,7.197450324044421,2,0.3234766125694392,0.05981461443748402,0.6167087729930767,Low Spend
BEL,1985,15.684,1.074,149.946,,1478.21,7.299263440461097,0,0.45910158958643016,0.09276729232128327,0.4481311180922868,High Spend
BEL,1986,15.708,1.102,159.833,,1576.24,7.3634317630818265,0,0.4893012910510925,0.0904366966002875,0.4202620123486201,High Spend
BEL,1987,15.952,1.136,172.74,,1704.98,7.44189500465348,0,0.5528006345161801,0.09939966666943927,0.3477996988143804,High Spend
BEL,1988,16.479,1.174,192.778,,1908.82,7.554764275762032,0,0.6505057962683114,0.12189581435469178,0.22759838937699697,High Spend
BEL,1989,16.231,1.147,201.741,,2004.84,7.603818204622979,0,0.647711498716533,0.10190519646957205,0.2503833048138951,High Spend
BEL,1990,15.52,1.103,206.956,,2062.81,7.632309068100634,0,0.5768911772087526,0.06590283079801607,0.3572059919932312,High Spend
BEL,1991,15.597,1.157,227.548,,2276.5,7.730833629134113,0,0.6265089831501964,0.06335140362315511,0.31013961322664835,High Spend
BEL,1992,16.282,1.237,251.603,,2527.39,7.835338015519922,0,0.7341032565787131,0.0834319003817796,0.1824648430395074,High Spend
BEL,1993,17.445,1.347,276.698,,2790.35,7.934280628755346,0,0.8000730266720559,0.13291103955798536,0.0670159337699589,High Spend
BEL,1994,17.459,1.313,283.434,,2867.11,7.961408555237841,0,0.8066078824035561,0.12976761414787902,0.0636245034485651,High Spend
BEL,1995,18.068,1.351,304.259,,3084.22,8.03437824660074,0,0.8074178853870958,0.1588446416440856,0.03373747296881879,High Spend
BEL,1996,17.119,1.327,303.867,,3086.27,8.035042484234296,0,0.8236909579479911,0.10133412902695535,0.07497491302505352,High Spend
BEL,1997,17.497,1.332,318.442,,3242.14,8.084297275279933,0,0.834150033279588,0.11468187826090037,0.05116808845951133,High Spend
BEL,2003,17.13,1.557,483.535,B,5017.22,8.520830568133523,0,0.9095398807383283,0.055651062799554535,0.03480905646211719,High Spend
BEL,2004,17.098,1.557,502.408,,5235.66,8.563439169506271,0,0.914844483369756,0.0517909370692582,0.03336457956098597,High Spend
BEL,2005,17.026,1.536,512.107,,5366.17,8.588056046726424,0,0.9176146491678209,0.048359315211959276,0.034026035620219726,High Spend
BEL,2006,16.501,1.472,521.218,B,5497.79,8.612283347017012,0,0.9140171815427306,0.0360406097891091,0.04994220866816026,High Spend
BEL,2007,16.676,1.493,550.12,,5845.41,8.673583076636522,0,0.9243822839975103,0.03620218555658634,0.039415530445903284,High Spend
BEL,2008,16.407,1.532,584.31,,6257.94,8.741766120682875,0,0.9273486656931613,0.028854345522813008,0.04379698878402565,High Spend
BEL,2009,15.792,1.59,605.096,,6532.91,8.784760817961468,0,0.9142392059207488,0.020069724921508485,0.0656910691577428,High Spend
BEL,2010,15.677,1.555,623.97,,6798.52,8.824607300437437,0,0.9147227847681128,0.017950610591006833,0.06732660464088039,High Spend
BEL,2011,15.345,1.547,638.092,,7049.48,8.860850978595012,0,0.9042502178403609,0.014511162743287374,0.0812386194163517,High Spend
BEL,2012,14.599,1.487,629.735,,7007.85,8.854928915215533,0,0.8533010427283163,0.010152678892632409,0.1365462783790514,High Spend
BEL,2013,14.273,1.48,642.958,,7190.08,8.880596648057994,0,0.8294953164419475,0.008346714913727647,0.16215796864432477,High Spend
BEL,2014,13.851,1.44,644.954,,7229.33,8.886039957264721,0,0.7862636125728815,0.006704358998695457,0.20703202842842294,High Spend
BEL,2015,14.209,1.489,678.971,,7654.85,8.943225340464366,0,0.8372572274530968,0.007435405825981599,0.1553073667209214,High Spend
CAN,1970,11.962,0.76,34.512,,735.93,6.602492908031266,2,0.03165295805718583,0.0076746423907918925,0.9606723995520223,Low Spend
CAN,1971,11.529,0.762,37.493,,811.56,6.700189757631246,2,0.029556061765702673,0.0056890372616490515,0.9647549009726483,Low Spend
CAN,1972,10.962,0.716,38.279,,841.89,6.736836463129525,2,0.02370368258101418,0.0039942087369286795,0.972302108682057,Low Spend
CAN,1973,10.942,0.679,40.48,,905.51,6.8096020615736625,2,0.026120388792692954,0.003857557903812435,0.9700220533034946,Low Spend
CAN,1974,10.026,0.611,40.559,,923.69,6.82945854620696,2,0.017569441188549164,0.002305816942175032,0.9801247418692758,Low Spend
CAN,1975,9.319,0.609,44.367,B,1029.71,6.938003164139856,2,0.015006528032994985,0.0015499165320699878,0.983443555434935,Low Spend
CAN,1976,8.957,0.589,46.967,,1104.57,7.008116318057701,2,0.014178200371785242,0.001267790020234064,0.9845540096079808,Low Spend
CAN,1977,8.9,0.583,50.511,,1201.96,7.092540465214065,2,0.015533607967739758,0.0011820371218680059,0.9832843549103922,Low Spend
CAN,1978,8.882,0.58,55.298,,1329.14,7.193039478833917,2,0.017668206056928898,0.0011108056284625013,0.9812209883146086,Low Spend
CAN,1979,9.081,0.582,61.83,,1501.05,7.314586120718085,2,0.022685238747506796,0.0011430568395726704,0.9761717044129204,Low Spend
CAN,1980,8.934,0.589,68.701,,1689.56,7.432815113975951,2,0.024942372362026604,0.0009981116198447713,0.9740595160181286,Low Spend
CAN,1981,9.357,0.635,82.876,,2063.61,7.63269662557299,2,0.0393147205246823,0.001110283288129111,0.9595749961871884,Low Spend
CAN,1982,9.071,0.682,90.435,,2279.14,7.73199212357214,2,0.03938945865338713,0.0009034471198870894,0.959707094226726,Low Spend
CAN,1983,9.145,0.704,98.477,,2506.83,7.827173116361335,2,0.04612368648456151,0.0008893724459239375,0.9529869410695144,Low Spend
CAN,1984,9.5,0.72,109.506,,2814.52,7.942902248203452,2,0.06308911390905401,0.001012232317419835,0.9358986537735261,Low Spend
CAN,1985,10.061,0.763,124.336,,3225.52,8.07915943602397,2,0.09776201126047833,0.001305130967664857,0.900932857771857,Low Spend
CAN,1986,10.756,0.842,141.554,,3709.28,8.218862624451749,2,0.16142305205399898,0.001867234506856847,0.8367097134391441,Low Spend
CAN,1987,11.058,0.859,152.165,,4039.98,8.304242515796243,2,0.20529478658540223,0.002158006088101533,0.7925472073264964,Low Spend
CAN,1988,11.383,0.884,167.067,,4493.27,8.410558531047347,2,0.26711120110458836,0.0024892782308337164,0.7303995206645777,Low Spend
CAN,1989,11.691,0.932,183.938,,5036.04,8.52457388694898,2,0.34140281674338113,0.0027961900803399526,0.6558009931762792,Low Spend
CAN,1990,11.914,1.0,201.819,,5608.75,8.632261434243912,2,0.41080239807640245,0.002949086573716522,0.5862485153498813,Low Spend
CAN,1991,12.135,1.102,222.113,,6257.3,8.74166386171835,2,0.4852194645570833,0.0030576436731784887,0.5117228917697382,Low Spend
CAN,1992,12.75,1.19,244.536,,6974.07,8.8500976424815,0,0.6232219790549025,0.003902408325020904,0.3728756126200766,High Spend
CAN,1993,13.377,1.233,263.391,,7594.46,8.935305979357766,0,0.7417935389709367,0.00493863988174532,0.2532678211473179,High Spend
CAN,1994,13.613,1.206,272.076,,7920.65,8.97735479644343,0,0.7828014490662786,0.005280256243680592,0.21191829469004075,High Spend
CAN,1995,14.358,1.229,287.512,,8439.63,9.040812229354,0,0.869325021651249,0.006995491657533002,0.12367948669121784,High Spend
CAN,1996,14.578,1.219,292.026,,8664.97,9.067159140489109,0,0.8896300004064662,0.007496379116356274,0.10287362047717763,High Spend
CAN,1997,15.255,1.273,320.266,,9603.88,9.17002658163164,0,0.9366677464398554,0.008955841588636937,0.05437641197150772,High Spend
CAN,1998,15.702,1.347,352.804,,10671.58,9.275433114504702,0,0.9577408233232013,0.009553176359984534,0.032706000316814074,High Spend
